student_id,name,exam_no,exam_date,exam_label,total_score,max_score,percentage,rank,percentile
STU021,Sneha Shah,1,2024-01-15,NEET Mock 01,197,728,27.06,62,38.38
STU038,Sandeep Dubey,1,2024-01-15,NEET Mock 01,196,728,26.92,63,37.37
STU061,Ajay Chaturvedi,1,2024-01-15,NEET Mock 01,195,728,26.79,64,36.36
STU040,Rohit Pandey,1,2024-01-15,NEET Mock 01,191,728,26.24,65,35.35
STU060,Suresh Agarwal,1,2024-01-15,NEET Mock 01,189,728,25.96,66,34.34
STU056,Diya Reddy,1,2024-01-15,NEET Mock 01,188,728,25.82,67,33.33
STU058,Varun Bhat,1,2024-01-15,NEET Mock 01,186,728,25.55,68,32.32
STU028,Sunita Chaturvedi,1,2024-01-15,NEET Mock 01,185,728,25.41,69,31.31
STU046,Radha Iyer,1,2024-01-15,NEET Mock 01,185,728,25.41,70,30.3
STU083,Ritesh Menon,1,2024-01-15,NEET Mock 01,184,728,25.27,71,29.29
STU080,Priya Krishnan,1,2024-01-15,NEET Mock 01,181,728,24.86,72,28.28
STU031,Pooja Yadav,1,2024-01-15,NEET Mock 01,175,728,24.04,73,27.27
STU052,Naman Singh,1,2024-01-15,NEET Mock 01,174,728,23.9,74,26.26
STU006,Ritu Bhat,1,2024-01-15,NEET Mock 01,170,728,23.35,75,25.25
STU027,Aanya Pandey,1,2024-01-15,NEET Mock 01,170,728,23.35,76,24.24
STU053,Sneha Reddy,1,2024-01-15,NEET Mock 01,168,728,23.08,77,23.23
STU019,Isha Bhat,1,2024-01-15,NEET Mock 01,167,728,22.94,78,22.22
STU076,Pratik Nair,1,2024-01-15,NEET Mock 01,167,728,22.94,79,21.21
STU074,Diya Tripathi,1,2024-01-15,NEET Mock 01,163,728,22.39,80,20.2
STU030,Tanvi Mehta,1,2024-01-15,NEET Mock 01,159,728,21.84,81,19.19
STU087,Pratik Menon,1,2024-01-15,NEET Mock 01,158,728,21.7,82,18.18
STU033,Lokesh Singh,1,2024-01-15,NEET Mock 01,156,728,21.43,83,17.17
STU050,Lokesh Mehta,1,2024-01-15,NEET Mock 01,156,728,21.43,84,16.16
STU020,Savita Saxena,1,2024-01-15,NEET Mock 01,155,728,21.29,85,15.15
STU079,Suresh Rao,1,2024-01-15,NEET Mock 01,155,728,21.29,86,14.14
STU090,Neha Subramaniam,1,2024-01-15,NEET Mock 01,154,728,21.15,87,13.13
STU084,Navya Shah,1,2024-01-15,NEET Mock 01,144,728,19.78,88,12.12
STU008,Lata Pandey,1,2024-01-15,NEET Mock 01,140,728,19.23,89,11.11
STU086,Dhruv Pillai,1,2024-01-15,NEET Mock 01,114,728,15.66,90,10.1
STU024,Kabir Pillai,1,2024-01-15,NEET Mock 01,111,728,15.25,91,9.09
STU055,Naman Iyer,1,2024-01-15,NEET Mock 01,107,728,14.7,92,8.08
STU067,Puja Pillai,1,2024-01-15,NEET Mock 01,102,728,14.01,93,7.07
STU025,Advik Kumar,1,2024-01-15,NEET Mock 01,100,728,13.74,94,6.06
STU068,Dev Joshi,1,2024-01-15,NEET Mock 01,85,728,11.68,95,5.05
STU071,Pinki Krishnan,1,2024-01-15,NEET Mock 01,84,728,11.54,96,4.04
STU092,Lokesh Iyer,1,2024-01-15,NEET Mock 01,82,728,11.26,97,3.03
STU044,Meena Tiwari,1,2024-01-15,NEET Mock 01,80,728,10.99,98,2.02
STU034,Shaurya Mehta,1,2024-01-15,NEET Mock 01,77,728,10.58,99,1.01
STU065,Pawan Agarwal,1,2024-01-15,NEET Mock 01,46,728,6.32,100,0.0
STU093,Ashish Tripathi,2,2024-02-02,NEET Mock 02,422,728,57.97,1,100.0
STU041,Karan Menon,2,2024-02-02,NEET Mock 02,397,728,54.53,2,98.99
STU043,Naman Gupta,2,2024-02-02,NEET Mock 02,388,728,53.3,3,97.98
STU075,Vihaan Kaur,2,2024-02-02,NEET Mock 02,385,728,52.88,4,96.97
STU005,Shreya Iyer,2,2024-02-02,NEET Mock 02,366,728,50.27,5,95.96
STU017,Ravi Tripathi,2,2024-02-02,NEET Mock 02,366,728,50.27,6,94.95
STU018,Raj Saxena,2,2024-02-02,NEET Mock 02,351,728,48.21,7,93.94
STU042,Vivaan Kumar,2,2024-02-02,NEET Mock 02,345,728,47.39,8,92.93
STU059,Usha Sharma,2,2024-02-02,NEET Mock 02,341,728,46.84,9,91.92
STU057,Sneha Tiwari,2,2024-02-02,NEET Mock 02,338,728,46.43,10,90.91
STU014,Harsh Tripathi,2,2024-02-02,NEET Mock 02,334,728,45.88,11,89.9
STU056,Diya Reddy,2,2024-02-02,NEET Mock 02,324,728,44.51,12,88.89
STU009,Gaurav Shah,2,2024-02-02,NEET Mock 02,314,728,43.13,13,87.88
STU036,Lakshay Tripathi,2,2024-02-02,NEET Mock 02,313,728,42.99,14,86.87
STU048,Aadhya Shah,2,2024-02-02,NEET Mock 02,313,728,42.99,15,85.86
STU060,Suresh Agarwal,2,2024-02-02,NEET Mock 02,308,728,42.31,16,84.85
STU064,Shaurya Gupta,2,2024-02-02,NEET Mock 02,306,728,42.03,17,83.84
STU032,Sumit Srivastava,2,2024-02-02,NEET Mock 02,304,728,41.76,18,82.83
STU003,Om Shukla,2,2024-02-02,NEET Mock 02,303,728,41.62,19,81.82
STU001,Rekha Kumar,2,2024-02-02,NEET Mock 02,299,728,41.07,20,80.81
STU098,Gaurav Nair,2,2024-02-02,NEET Mock 02,298,728,40.93,21,79.8
STU028,Sunita Chaturvedi,2,2024-02-02,NEET Mock 02,297,728,40.8,22,78.79
STU099,Sai Bhat,2,2024-02-02,NEET Mock 02,294,728,40.38,23,77.78
STU039,Sandeep Gupta,2,2024-02-02,NEET Mock 02,291,728,39.97,24,76.77
STU015,Amit Menon,2,2024-02-02,NEET Mock 02,288,728,39.56,25,75.76
STU049,Amit Joshi,2,2024-02-02,NEET Mock 02,288,728,39.56,26,74.75
STU083,Ritesh Menon,2,2024-02-02,NEET Mock 02,287,728,39.42,27,73.74
STU046,Radha Iyer,2,2024-02-02,NEET Mock 02,277,728,38.05,28,72.73
STU062,Om Bhat,2,2024-02-02,NEET Mock 02,277,728,38.05,29,71.72
STU047,Avni Krishnan,2,2024-02-02,NEET Mock 02,272,728,37.36,30,70.71
STU081,Vihaan Saxena,2,2024-02-02,NEET Mock 02,272,728,37.36,31,69.7
STU023,Krishna Bhat,2,2024-02-02,NEET Mock 02,270,728,37.09,32,68.69
STU007,Kiara Subramaniam,2,2024-02-02,NEET Mock 02,269,728,36.95,33,67.68
STU100,Kavya Shukla,2,2024-02-02,NEET Mock 02,269,728,36.95,34,66.67
STU063,Rohit Rao,2,2024-02-02,NEET Mock 02,268,728,36.81,35,65.66
STU069,Amit Sharma,2,2024-02-02,NEET Mock 02,267,728,36.68,36,64.65
STU002,Akash Verma,2,2024-02-02,NEET Mock 02,266,728,36.54,37,63.64
STU040,Rohit Pandey,2,2024-02-02,NEET Mock 02,265,728,36.4,38,62.63
STU054,Puja Bhat,2,2024-02-02,NEET Mock 02,264,728,36.26,39,61.62
STU021,Sneha Shah,2,2024-02-02,NEET Mock 02,263,728,36.13,40,60.61
STU094,Savita Singh,2,2024-02-02,NEET Mock 02,263,728,36.13,41,59.6
STU096,Pratik Reddy,2,2024-02-02,NEET Mock 02,263,728,36.13,42,58.59
STU008,Lata Pandey,2,2024-02-02,NEET Mock 02,262,728,35.99,43,57.58
STU066,Harsh Saxena,2,2024-02-02,NEET Mock 02,262,728,35.99,44,56.57
STU078,Pranav Mehta,2,2024-02-02,NEET Mock 02,261,728,35.85,45,55.56
STU082,Anita Bhat,2,2024-02-02,NEET Mock 02,257,728,35.3,46,54.55
STU095,Arjun Tiwari,2,2024-02-02,NEET Mock 02,248,728,34.07,47,53.54
STU089,Pinki Saxena,2,2024-02-02,NEET Mock 02,247,728,33.93,48,52.53
STU004,Arnav Yadav,2,2024-02-02,NEET Mock 02,246,728,33.79,49,51.52
STU010,Arjun Iyer,2,2024-02-02,NEET Mock 02,246,728,33.79,50,50.51
STU016,Nisha Pandey,2,2024-02-02,NEET Mock 02,246,728,33.79,51,49.49
STU006,Ritu Bhat,2,2024-02-02,NEET Mock 02,245,728,33.65,52,48.48
STU026,Parth Pillai,2,2024-02-02,NEET Mock 02,245,728,33.65,53,47.47
STU085,Puja Chaturvedi,2,2024-02-02,NEET Mock 02,243,728,33.38,54,46.46
STU022,Krishna Joshi,2,2024-02-02,NEET Mock 02,242,728,33.24,55,45.45
STU070,Aanya Verma,2,2024-02-02,NEET Mock 02,242,728,33.24,56,44.44
STU097,Ishaan Verma,2,2024-02-02,NEET Mock 02,242,728,33.24,57,43.43
STU052,Naman Singh,2,2024-02-02,NEET Mock 02,240,728,32.97,58,42.42
STU033,Lokesh Singh,2,2024-02-02,NEET Mock 02,239,728,32.83,59,41.41
STU051,Aadhya Pandey,2,2024-02-02,NEET Mock 02,239,728,32.83,60,40.4
STU090,Neha Subramaniam,2,2024-02-02,NEET Mock 02,236,728,32.42,61,39.39
STU077,Sai Patel,2,2024-02-02,NEET Mock 02,234,728,32.14,62,38.38
STU027,Aanya Pandey,2,2024-02-02,NEET Mock 02,226,728,31.04,63,37.37
STU038,Sandeep Dubey,2,2024-02-02,NEET Mock 02,224,728,30.77,64,36.36
STU029,Sumit Yadav,2,2024-02-02,NEET Mock 02,223,728,30.63,65,35.35
STU050,Lokesh Mehta,2,2024-02-02,NEET Mock 02,218,728,29.95,66,34.34
STU053,Sneha Reddy,2,2024-02-02,NEET Mock 02,217,728,29.81,67,33.33
STU037,Priya Patel,2,2024-02-02,NEET Mock 02,216,728,29.67,68,32.32
STU035,Shreya Shah,2,2024-02-02,NEET Mock 02,215,728,29.53,69,31.31
STU091,Arnav Iyer,2,2024-02-02,NEET Mock 02,215,728,29.53,70,30.3
STU074,Diya Tripathi,2,2024-02-02,NEET Mock 02,214,728,29.4,71,29.29
STU076,Pratik Nair,2,2024-02-02,NEET Mock 02,214,728,29.4,72,28.28
STU024,Kabir Pillai,2,2024-02-02,NEET Mock 02,213,728,29.26,73,27.27
STU072,Sunita Singh,2,2024-02-02,NEET Mock 02,211,728,28.98,74,26.26
STU020,Savita Saxena,2,2024-02-02,NEET Mock 02,210,728,28.85,75,25.25
STU067,Puja Pillai,2,2024-02-02,NEET Mock 02,209,728,28.71,76,24.24
STU019,Isha Bhat,2,2024-02-02,NEET Mock 02,207,728,28.43,77,23.23
STU045,Anaya Iyer,2,2024-02-02,NEET Mock 02,207,728,28.43,78,22.22
STU073,Arnav Tiwari,2,2024-02-02,NEET Mock 02,207,728,28.43,79,21.21
STU012,Vishal Mehta,2,2024-02-02,NEET Mock 02,205,728,28.16,80,20.2
STU011,Sunita Saxena,2,2024-02-02,NEET Mock 02,203,728,27.88,81,19.19
STU013,Pinki Verma,2,2024-02-02,NEET Mock 02,201,728,27.61,82,18.18
STU031,Pooja Yadav,2,2024-02-02,NEET Mock 02,200,728,27.47,83,17.17
STU088,Divya Sharma,2,2024-02-02,NEET Mock 02,199,728,27.34,84,16.16
STU071,Pinki Krishnan,2,2024-02-02,NEET Mock 02,193,728,26.51,85,15.15
STU079,Suresh Rao,2,2024-02-02,NEET Mock 02,191,728,26.24,86,14.14
STU058,Varun Bhat,2,2024-02-02,NEET Mock 02,186,728,25.55,87,13.13
STU086,Dhruv Pillai,2,2024-02-02,NEET Mock 02,178,728,24.45,88,12.12
STU087,Pratik Menon,2,2024-02-02,NEET Mock 02,176,728,24.18,89,11.11
STU065,Pawan Agarwal,2,2024-02-02,NEET Mock 02,173,728,23.76,90,10.1
STU055,Naman Iyer,2,2024-02-02,NEET Mock 02,171,728,23.49,91,9.09
STU080,Priya Krishnan,2,2024-02-02,NEET Mock 02,164,728,22.53,92,8.08
STU068,Dev Joshi,2,2024-02-02,NEET Mock 02,159,728,21.84,93,7.07
STU034,Shaurya Mehta,2,2024-02-02,NEET Mock 02,157,728,21.57,94,6.06
STU084,Navya Shah,2,2024-02-02,NEET Mock 02,149,728,20.47,95,5.05
STU030,Tanvi Mehta,2,2024-02-02,NEET Mock 02,148,728,20.33,96,4.04
STU092,Lokesh Iyer,2,2024-02-02,NEET Mock 02,140,728,19.23,97,3.03
STU025,Advik Kumar,2,2024-02-02,NEET Mock 02,113,728,15.52,98,2.02
STU044,Meena Tiwari,2,2024-02-02,NEET Mock 02,104,728,14.29,99,1.01
STU061,Ajay Chaturvedi,2,2024-02-02,NEET Mock 02,94,728,12.91,100,0.0
STU014,Harsh Tripathi,3,2024-02-20,NEET Mock 03,429,728,58.93,1,100.0
STU018,Raj Saxena,3,2024-02-20,NEET Mock 03,416,728,57.14,2,98.99
STU015,Amit Menon,3,2024-02-20,NEET Mock 03,375,728,51.51,3,97.98
STU036,Lakshay Tripathi,3,2024-02-20,NEET Mock 03,367,728,50.41,4,96.97
STU093,Ashish Tripathi,3,2024-02-20,NEET Mock 03,366,728,50.27,5,95.96
STU041,Karan Menon,3,2024-02-20,NEET Mock 03,362,728,49.73,6,94.95
STU043,Naman Gupta,3,2024-02-20,NEET Mock 03,349,728,47.94,7,93.94
STU005,Shreya Iyer,3,2024-02-20,NEET Mock 03,342,728,46.98,8,92.93
STU042,Vivaan Kumar,3,2024-02-20,NEET Mock 03,342,728,46.98,9,91.92
STU032,Sumit Srivastava,3,2024-02-20,NEET Mock 03,341,728,46.84,10,90.91
STU095,Arjun Tiwari,3,2024-02-20,NEET Mock 03,341,728,46.84,11,89.9
STU083,Ritesh Menon,3,2024-02-20,NEET Mock 03,334,728,45.88,12,88.89
STU022,Krishna Joshi,3,2024-02-20,NEET Mock 03,329,728,45.19,13,87.88
STU016,Nisha Pandey,3,2024-02-20,NEET Mock 03,327,728,44.92,14,86.87
STU062,Om Bhat,3,2024-02-20,NEET Mock 03,327,728,44.92,15,85.86
STU064,Shaurya Gupta,3,2024-02-20,NEET Mock 03,324,728,44.51,16,84.85
STU057,Sneha Tiwari,3,2024-02-20,NEET Mock 03,323,728,44.37,17,83.84
STU056,Diya Reddy,3,2024-02-20,NEET Mock 03,319,728,43.82,18,82.83
STU040,Rohit Pandey,3,2024-02-20,NEET Mock 03,317,728,43.54,19,81.82
STU001,Rekha Kumar,3,2024-02-20,NEET Mock 03,315,728,43.27,20,80.81
STU046,Radha Iyer,3,2024-02-20,NEET Mock 03,315,728,43.27,21,79.8
STU010,Arjun Iyer,3,2024-02-20,NEET Mock 03,313,728,42.99,22,78.79
STU063,Rohit Rao,3,2024-02-20,NEET Mock 03,311,728,42.72,23,77.78
STU039,Sandeep Gupta,3,2024-02-20,NEET Mock 03,310,728,42.58,24,76.77
STU094,Savita Singh,3,2024-02-20,NEET Mock 03,309,728,42.45,25,75.76
STU003,Om Shukla,3,2024-02-20,NEET Mock 03,308,728,42.31,26,74.75
STU009,Gaurav Shah,3,2024-02-20,NEET Mock 03,307,728,42.17,27,73.74
STU069,Amit Sharma,3,2024-02-20,NEET Mock 03,307,728,42.17,28,72.73
STU073,Arnav Tiwari,3,2024-02-20,NEET Mock 03,304,728,41.76,29,71.72
STU035,Shreya Shah,3,2024-02-20,NEET Mock 03,302,728,41.48,30,70.71
STU023,Krishna Bhat,3,2024-02-20,NEET Mock 03,301,728,41.35,31,69.7
STU027,Aanya Pandey,3,2024-02-20,NEET Mock 03,296,728,40.66,32,68.69
STU048,Aadhya Shah,3,2024-02-20,NEET Mock 03,294,728,40.38,33,67.68
STU089,Pinki Saxena,3,2024-02-20,NEET Mock 03,293,728,40.25,34,66.67
STU012,Vishal Mehta,3,2024-02-20,NEET Mock 03,292,728,40.11,35,65.66
STU097,Ishaan Verma,3,2024-02-20,NEET Mock 03,292,728,40.11,36,64.65
STU006,Ritu Bhat,3,2024-02-20,NEET Mock 03,288,728,39.56,37,63.64
STU066,Harsh Saxena,3,2024-02-20,NEET Mock 03,287,728,39.42,38,62.63
STU075,Vihaan Kaur,3,2024-02-20,NEET Mock 03,287,728,39.42,39,61.62
STU059,Usha Sharma,3,2024-02-20,NEET Mock 03,286,728,39.29,40,60.61
STU078,Pranav Mehta,3,2024-02-20,NEET Mock 03,283,728,38.87,41,59.6
STU081,Vihaan Saxena,3,2024-02-20,NEET Mock 03,283,728,38.87,42,58.59
STU038,Sandeep Dubey,3,2024-02-20,NEET Mock 03,280,728,38.46,43,57.58
STU004,Arnav Yadav,3,2024-02-20,NEET Mock 03,279,728,38.32,44,56.57
STU049,Amit Joshi,3,2024-02-20,NEET Mock 03,279,728,38.32,45,55.56
STU082,Anita Bhat,3,2024-02-20,NEET Mock 03,279,728,38.32,46,54.55
STU033,Lokesh Singh,3,2024-02-20,NEET Mock 03,278,728,38.19,47,53.54
STU088,Divya Sharma,3,2024-02-20,NEET Mock 03,276,728,37.91,48,52.53
STU100,Kavya Shukla,3,2024-02-20,NEET Mock 03,276,728,37.91,49,51.52
STU029,Sumit Yadav,3,2024-02-20,NEET Mock 03,275,728,37.77,50,50.51
STU087,Pratik Menon,3,2024-02-20,NEET Mock 03,275,728,37.77,51,49.49
STU099,Sai Bhat,3,2024-02-20,NEET Mock 03,274,728,37.64,52,48.48
STU026,Parth Pillai,3,2024-02-20,NEET Mock 03,272,728,37.36,53,47.47
STU047,Avni Krishnan,3,2024-02-20,NEET Mock 03,269,728,36.95,54,46.46
STU060,Suresh Agarwal,3,2024-02-20,NEET Mock 03,266,728,36.54,55,45.45
STU017,Ravi Tripathi,3,2024-02-20,NEET Mock 03,264,728,36.26,56,44.44
STU045,Anaya Iyer,3,2024-02-20,NEET Mock 03,263,728,36.13,57,43.43
STU070,Aanya Verma,3,2024-02-20,NEET Mock 03,261,728,35.85,58,42.42
STU076,Pratik Nair,3,2024-02-20,NEET Mock 03,260,728,35.71,59,41.41
STU007,Kiara Subramaniam,3,2024-02-20,NEET Mock 03,259,728,35.58,60,40.4
STU079,Suresh Rao,3,2024-02-20,NEET Mock 03,259,728,35.58,61,39.39
STU021,Sneha Shah,3,2024-02-20,NEET Mock 03,258,728,35.44,62,38.38
STU096,Pratik Reddy,3,2024-02-20,NEET Mock 03,258,728,35.44,63,37.37
STU002,Akash Verma,3,2024-02-20,NEET Mock 03,255,728,35.03,64,36.36
STU085,Puja Chaturvedi,3,2024-02-20,NEET Mock 03,252,728,34.62,65,35.35
STU080,Priya Krishnan,3,2024-02-20,NEET Mock 03,251,728,34.48,66,34.34
STU054,Puja Bhat,3,2024-02-20,NEET Mock 03,249,728,34.2,67,33.33
STU024,Kabir Pillai,3,2024-02-20,NEET Mock 03,244,728,33.52,68,32.32
STU058,Varun Bhat,3,2024-02-20,NEET Mock 03,244,728,33.52,69,31.31
STU037,Priya Patel,3,2024-02-20,NEET Mock 03,241,728,33.1,70,30.3
STU019,Isha Bhat,3,2024-02-20,NEET Mock 03,238,728,32.69,71,29.29
STU013,Pinki Verma,3,2024-02-20,NEET Mock 03,237,728,32.55,72,28.28
STU011,Sunita Saxena,3,2024-02-20,NEET Mock 03,234,728,32.14,73,27.27
STU077,Sai Patel,3,2024-02-20,NEET Mock 03,233,728,32.01,74,26.26
STU074,Diya Tripathi,3,2024-02-20,NEET Mock 03,229,728,31.46,75,25.25
STU098,Gaurav Nair,3,2024-02-20,NEET Mock 03,229,728,31.46,76,24.24
STU086,Dhruv Pillai,3,2024-02-20,NEET Mock 03,227,728,31.18,77,23.23
STU053,Sneha Reddy,3,2024-02-20,NEET Mock 03,226,728,31.04,78,22.22
STU065,Pawan Agarwal,3,2024-02-20,NEET Mock 03,226,728,31.04,79,21.21
STU050,Lokesh Mehta,3,2024-02-20,NEET Mock 03,223,728,30.63,80,20.2
STU091,Arnav Iyer,3,2024-02-20,NEET Mock 03,219,728,30.08,81,19.19
STU028,Sunita Chaturvedi,3,2024-02-20,NEET Mock 03,217,728,29.81,82,18.18
STU067,Puja Pillai,3,2024-02-20,NEET Mock 03,216,728,29.67,83,17.17
STU072,Sunita Singh,3,2024-02-20,NEET Mock 03,203,728,27.88,84,16.16
STU090,Neha Subramaniam,3,2024-02-20,NEET Mock 03,203,728,27.88,85,15.15
STU071,Pinki Krishnan,3,2024-02-20,NEET Mock 03,201,728,27.61,86,14.14
STU031,Pooja Yadav,3,2024-02-20,NEET Mock 03,199,728,27.34,87,13.13
STU084,Navya Shah,3,2024-02-20,NEET Mock 03,196,728,26.92,88,12.12
STU020,Savita Saxena,3,2024-02-20,NEET Mock 03,188,728,25.82,89,11.11
STU008,Lata Pandey,3,2024-02-20,NEET Mock 03,183,728,25.14,90,10.1
STU030,Tanvi Mehta,3,2024-02-20,NEET Mock 03,182,728,25.0,91,9.09
STU052,Naman Singh,3,2024-02-20,NEET Mock 03,173,728,23.76,92,8.08
STU051,Aadhya Pandey,3,2024-02-20,NEET Mock 03,170,728,23.35,93,7.07
STU025,Advik Kumar,3,2024-02-20,NEET Mock 03,166,728,22.8,94,6.06
STU068,Dev Joshi,3,2024-02-20,NEET Mock 03,166,728,22.8,95,5.05
STU034,Shaurya Mehta,3,2024-02-20,NEET Mock 03,163,728,22.39,96,4.04
STU044,Meena Tiwari,3,2024-02-20,NEET Mock 03,162,728,22.25,97,3.03
STU061,Ajay Chaturvedi,3,2024-02-20,NEET Mock 03,152,728,20.88,98,2.02
STU055,Naman Iyer,3,2024-02-20,NEET Mock 03,149,728,20.47,99,1.01
STU092,Lokesh Iyer,3,2024-02-20,NEET Mock 03,113,728,15.52,100,0.0
STU041,Karan Menon,4,2024-03-09,NEET Mock 04,490,728,67.31,1,100.0
STU093,Ashish Tripathi,4,2024-03-09,NEET Mock 04,436,728,59.89,2,98.99
STU018,Raj Saxena,4,2024-03-09,NEET Mock 04,405,728,55.63,3,97.98
STU066,Harsh Saxena,4,2024-03-09,NEET Mock 04,388,728,53.3,4,96.97
STU012,Vishal Mehta,4,2024-03-09,NEET Mock 04,384,728,52.75,5,95.96
STU005,Shreya Iyer,4,2024-03-09,NEET Mock 04,380,728,52.2,6,94.95
STU042,Vivaan Kumar,4,2024-03-09,NEET Mock 04,376,728,51.65,7,93.94
STU036,Lakshay Tripathi,4,2024-03-09,NEET Mock 04,375,728,51.51,8,92.93
STU014,Harsh Tripathi,4,2024-03-09,NEET Mock 04,371,728,50.96,9,91.92
STU009,Gaurav Shah,4,2024-03-09,NEET Mock 04,369,728,50.69,10,90.91
